year,team_id,team_name,wins,losses,ties,total_games
2016,26172,A&M-Corpus Chris,14,3,13,30
2016,2,Abilene Christian,7,10,14,31
2016,30123,Academy of Art,4,11,11,26
2016,929,Adams St.,7,9,11,27
2016,3,Adelphi,15,3,10,28
2016,4,Adrian,8,7,10,25
2016,721,Air Force,10,8,13,31
2016,5,Akron,14,4,13,31
2016,10,Ala.-Huntsville,11,5,11,27
2016,8,Alabama,10,7,13,30
2016,6,Alabama A&M,6,8,13,27
2016,7,Alabama St.,6,11,13,30
2016,11,Alas. Anchorage,15,4,12,31
2016,12,Alas. Fairbanks,12,4,12,28
2016,14,Albany (NY),15,5,11,31
2016,13,Albany St. (GA),2,13,10,25
2016,2798,Albertus Magnus,11,3,9,23
2016,15,Albion,8,7,10,25
2016,16,Albright,6,10,9,25
2016,17,Alcorn,6,11,12,29
2016,934,Alderson Broaddus,11,5,10,26
2016,18,Alfred,7,8,10,25
2016,30170,Alfred St.,4,13,8,25
2016,19,Allegheny,2,13,10,25
2016,21,Alma,11,4,10,25
2016,938,Alvernia,8,8,9,25
2016,23,American,2,15,16,33
2016,22,American Int'l,7,9,10,26
2016,24,Amherst,13,2,9,24
2016,939,Anderson (IN),7,8,10,25
2016,13028,Anderson (SC),5,11,12,28
2016,25,Angelo St.,14,2,10,26
2016,26,Anna Maria,9,7,9,25
2016,27,Appalachian St.,4,13,14,31
2016,966,Arcadia,12,4,9,25
2016,29,Arizona,15,3,13,31
2016,28,Arizona St.,11,7,13,31
2016,30105,Ark.-Fort Smith,13,3,12,28
2016,8411,Ark.-Monticello,5,11,13,29
2016,2678,Ark.-Pine Bluff,3,16,13,32
2016,31,Arkansas,9,8,14,31
2016,30,Arkansas St.,9,8,14,31
2016,947,Arkansas Tech,9,6,13,28
2016,33,Armstrong St.,6,10,10,26
2016,725,Army West Point,12,6,12,30
2016,35,Ashland,13,3,12,28
2016,36,Assumption,6,10,10,26
2016,37,Auburn,9,8,13,30
2016,38,Augsburg,9,5,11,25
2016,39,Augusta,9,7,10,26
2016,40,Augustana (IL),15,1,9,25
2016,41,Augustana (SD),15,1,10,26
2016,30093,AUM,0,5,0,5
2016,42,Aurora,13,3,9,25
2016,953,Austin,10,5,10,25
2016,43,Austin Peay,8,12,11,31
2016,44,Averett,11,4,10,25
2016,30146,Azusa Pacific,13,3,12,28
2016,45,Babson,10,4,10,24
2016,46,Baldwin Wallace,10,5,10,25
2016,47,Ball St.,12,6,13,31
2016,962,Bard,6,9,10,25
2016,49,Barry,12,3,11,26
2016,15646,Barton,12,5,11,28
2016,58,Baruch,9,8,8,25
2016,50,Bates,9,7,8,24
2016,51,Baylor,14,3,14,31
2016,26107,Becker,6,8,11,25
2016,52,Bellarmine,14,2,11,27
2016,14927,Belmont,13,6,11,30
2016,2683,Belmont Abbey,5,12,12,29
2016,53,Beloit,6,9,8,23
2016,54,Bemidji St.,8,8,10,26
2016,55,Benedict,11,6,11,28
2016,296,Benedictine (IL),16,0,9,25
2016,56,Bentley,12,3,11,26
2016,30171,Berea,2,4,1,7
2016,973,Berry,6,8,11,25
2016,59,Bethany (WV),10,5,10,25
2016,30038,Bethany Lutheran,6,10,9,25
2016,60,Bethel (MN),11,3,11,25
2016,61,Bethune-Cookman,6,13,12,31
2016,62,Binghamton,3,14,12,29
2016,28593,Birmingham-So.,9,6,10,25
2016,30134,Black Hills St.,9,6,11,26
2016,64,Blackburn,4,11,10,25
2016,984,Bloomfield,6,10,10,26
2016,65,Bloomsburg,9,7,10,26
2016,985,Bluefield St.,5,14,6,25
2016,987,Bluffton,7,7,10,24
2016,66,Boise St.,13,5,13,31
2016,67,Boston College,7,10,14,31
2016,68,Boston U.,10,9,12,31
2016,69,Bowdoin,8,5,9,22
2016,70,Bowie St.,11,7,10,28
2016,71,Bowling Green,12,6,13,31
2016,72,Bradley,3,16,12,31
2016,73,Brandeis,7,7,11,25
2016,30094,Brevard,2,13,13,28
2016,74,Bridgeport,8,6,13,27
2016,75,Bridgewater (VA),3,11,10,24
2016,76,Bridgewater St.,5,10,9,24
2016,78,Brockport,8,6,11,25
2016,79,Brooklyn,13,3,9,25
2016,80,Brown,5,10,13,28
2016,81,Bryant,7,12,12,31
2016,30188,Bryn Athyn,1,11,10,22
2016,83,Bucknell,8,9,12,29
2016,84,Buena Vista,7,8,10,25
2016,86,Buffalo,10,8,13,31
