BEGIN
CREATE TABLE
INSERT 0 1019
  rk  |        school        | div |  str  |  ofs  |  dfs  |  sos  
------+----------------------+-----+-------+-------+-------+-------
    1 | Kentucky             |   1 | 1.509 | 1.137 | 0.753 | 1.046
    2 | Virginia             |   1 | 1.440 | 1.054 | 0.732 | 1.041
    3 | Wisconsin            |   1 | 1.412 | 1.142 | 0.809 | 1.042
    4 | Arizona              |   1 | 1.366 | 1.177 | 0.862 | 1.031
    5 | Utah                 |   1 | 1.363 | 1.121 | 0.822 | 1.032
    6 | Gonzaga              |   1 | 1.358 | 1.189 | 0.875 | 1.015
    7 | Duke                 |   1 | 1.342 | 1.271 | 0.947 | 1.049
    8 | Ohio St.             |   1 | 1.336 | 1.188 | 0.889 | 1.030
    9 | Villanova            |   1 | 1.336 | 1.160 | 0.868 | 1.040
   10 | Oklahoma             |   1 | 1.334 | 1.164 | 0.872 | 1.058
   11 | Iowa St.             |   1 | 1.307 | 1.264 | 0.967 | 1.047
   12 | Kansas               |   1 | 1.305 | 1.183 | 0.906 | 1.076
   13 | Baylor               |   1 | 1.293 | 1.105 | 0.854 | 1.056
   14 | North Carolina       |   1 | 1.290 | 1.260 | 0.977 | 1.064
   15 | Louisville           |   1 | 1.289 | 1.071 | 0.831 | 1.043
   16 | Texas                |   1 | 1.271 | 1.082 | 0.851 | 1.047
   17 | Wichita St.          |   1 | 1.270 | 1.092 | 0.860 | 1.008
   18 | Butler               |   1 | 1.261 | 1.097 | 0.870 | 1.040
   19 | Michigan St.         |   1 | 1.244 | 1.123 | 0.902 | 1.033
   20 | Notre Dame           |   1 | 1.238 | 1.190 | 0.961 | 1.021
   21 | Xavier               |   1 | 1.237 | 1.177 | 0.952 | 1.043
   22 | West Virginia        |   1 | 1.235 | 1.141 | 0.924 | 1.044
   23 | Georgetown           |   1 | 1.235 | 1.109 | 0.898 | 1.055
   24 | Purdue               |   1 | 1.229 | 1.067 | 0.868 | 1.033
   25 | Iowa                 |   1 | 1.223 | 1.092 | 0.893 | 1.049
   26 | Oklahoma St.         |   1 | 1.222 | 1.066 | 0.872 | 1.058
   27 | San Diego St.        |   1 | 1.221 | 0.944 | 0.773 | 1.027
   28 | Florida              |   1 | 1.216 | 1.028 | 0.845 | 1.051
   29 | VCU                  |   1 | 1.209 | 1.150 | 0.951 | 1.032
   30 | Boise St.            |   1 | 1.203 | 1.069 | 0.889 | 1.008
   31 | Arkansas             |   1 | 1.203 | 1.201 | 0.998 | 1.025
   32 | North Carolina St.   |   1 | 1.200 | 1.131 | 0.943 | 1.053
   33 | Syracuse             |   1 | 1.197 | 1.080 | 0.902 | 1.031
   34 | SMU                  |   1 | 1.194 | 1.058 | 0.886 | 1.012
   35 | UNI                  |   1 | 1.194 | 1.008 | 0.844 | 1.006
   36 | Davidson             |   1 | 1.183 | 1.209 | 1.022 | 1.009
   37 | Minnesota            |   1 | 1.181 | 1.131 | 0.958 | 1.029
   38 | BYU                  |   1 | 1.180 | 1.238 | 1.049 | 1.019
   39 | Illinois             |   1 | 1.180 | 1.087 | 0.921 | 1.034
   40 | Maryland             |   1 | 1.179 | 1.086 | 0.921 | 1.043
