BEGIN
CREATE TABLE
INSERT 0 350
 rk  |                  team                  |  str  |  ofs  |  dfs  |  sos  
-----+----------------------------------------+-------+-------+-------+-------
   1 | Kentucky Wildcats                      | 1.531 | 1.142 | 0.746 | 1.035
   2 | Virginia Cavaliers                     | 1.418 | 1.046 | 0.738 | 1.029
   3 | Wisconsin Badgers                      | 1.396 | 1.144 | 0.819 | 1.028
   4 | Utah Utes                              | 1.344 | 1.119 | 0.832 | 1.021
   5 | Gonzaga Bulldogs                       | 1.342 | 1.195 | 0.891 | 1.009
   6 | Arizona Wildcats                       | 1.342 | 1.181 | 0.880 | 1.018
   7 | Duke Blue Devils                       | 1.336 | 1.259 | 0.942 | 1.033
   8 | Villanova Wildcats                     | 1.321 | 1.156 | 0.875 | 1.026
   9 | Ohio State Buckeyes                    | 1.309 | 1.183 | 0.904 | 1.019
  10 | Oklahoma Sooners                       | 1.300 | 1.146 | 0.882 | 1.038
  11 | Louisville Cardinals                   | 1.288 | 1.099 | 0.853 | 1.032
  12 | North Carolina Tar Heels               | 1.286 | 1.253 | 0.974 | 1.048
  13 | Baylor Bears                           | 1.269 | 1.096 | 0.864 | 1.039
  14 | Kansas Jayhawks                        | 1.268 | 1.174 | 0.926 | 1.050
  15 | Iowa State Cyclones                    | 1.264 | 1.241 | 0.982 | 1.030
  16 | Texas Longhorns                        | 1.262 | 1.086 | 0.860 | 1.034
  17 | Wichita State Shockers                 | 1.260 | 1.092 | 0.866 | 1.000
  18 | Michigan State Spartans                | 1.241 | 1.112 | 0.896 | 1.023
  19 | Notre Dame Fighting Irish              | 1.240 | 1.192 | 0.961 | 1.007
  20 | Butler Bulldogs                        | 1.238 | 1.086 | 0.877 | 1.017
  21 | Georgetown Hoyas                       | 1.220 | 1.111 | 0.910 | 1.040
  22 | San Diego State Aztecs                 | 1.218 | 0.973 | 0.799 | 1.016
  23 | Northern Iowa Panthers                 | 1.213 | 1.008 | 0.831 | 0.993
  24 | Xavier Musketeers                      | 1.212 | 1.167 | 0.963 | 1.031
  25 | West Virginia Mountaineers             | 1.211 | 1.154 | 0.953 | 1.031
  26 | Florida Gators                         | 1.204 | 1.028 | 0.854 | 1.035
